experiment;approach;model;k;sim_measure;agg_method;OneHit;PrecisionK;R-Precision
25%;graph;item;5;wcn;weighted_voting;0,981382979;0,690957447;0,620127026
25%;graph;item;5;wpa;weighted_voting;0,981382979;0,690957447;0,620109977
25%;graph;item;10;aa;weighted_voting;0,994680851;0,581914894;0,604903091
25%;graph;item;10;cn;weighted_voting;0,994680851;0,580319149;0,610253806
25%;graph;item;10;ew;weighted_voting;0,997340426;0,591223404;0,623009622
25%;graph;item;10;jn;weighted_voting;0,992021277;0,57606383;0,607882455
25%;graph;item;10;pa;weighted_voting;0,994680851;0,57712766;0,612271735
25%;graph;item;10;waa;weighted_voting;0,994680851;0,588031915;0,620365706
25%;graph;item;10;wcn;weighted_voting;0,994680851;0,588031915;0,620127026
25%;graph;item;10;wpa;weighted_voting;0,994680851;0,588031915;0,620109977
25%;graph;item;3;aa;positional_voting;0,77393617;0,415780142;0,422043399
25%;graph;item;3;cn;positional_voting;0,77393617;0,415780142;0,422043399
25%;graph;item;3;ew;positional_voting;0,77393617;0,415780142;0,422043399
25%;graph;item;3;jn;positional_voting;0,77393617;0,415780142;0,422043399
25%;graph;item;3;pa;positional_voting;0,77393617;0,415780142;0,422043399
25%;graph;item;3;waa;positional_voting;0,77393617;0,415780142;0,422043399
25%;graph;item;3;wcn;positional_voting;0,77393617;0,415780142;0,422043399
25%;graph;item;3;wpa;positional_voting;0,77393617;0,415780142;0,422043399
25%;graph;item;5;aa;positional_voting;0,89893617;0,424468085;0,422043399
25%;graph;item;5;cn;positional_voting;0,89893617;0,424468085;0,422043399
25%;graph;item;5;ew;positional_voting;0,89893617;0,424468085;0,422043399
25%;graph;item;5;jn;positional_voting;0,89893617;0,424468085;0,422043399
25%;graph;item;5;pa;positional_voting;0,89893617;0,424468085;0,422043399
25%;graph;item;5;waa;positional_voting;0,89893617;0,424468085;0,422043399
25%;graph;item;5;wcn;positional_voting;0,89893617;0,424468085;0,422043399
25%;graph;item;5;wpa;positional_voting;0,89893617;0,424468085;0,422043399
25%;graph;item;10;aa;positional_voting;0,986702128;0,409042553;0,422043399
25%;graph;item;10;cn;positional_voting;0,986702128;0,409042553;0,422043399
25%;graph;item;10;ew;positional_voting;0,986702128;0,409042553;0,422043399
25%;graph;item;10;jn;positional_voting;0,986702128;0,409042553;0,422043399
25%;graph;item;10;pa;positional_voting;0,986702128;0,409042553;0,422043399
25%;graph;item;10;waa;positional_voting;0,986702128;0,409042553;0,422043399
25%;graph;item;10;wcn;positional_voting;0,986702128;0,409042553;0,422043399
25%;graph;item;10;wpa;positional_voting;0,986702128;0,409042553;0,422043399
25%;graph;user;3;aa;highest-similarity;0,914893617;0,541666667;0,316799645
25%;graph;user;3;cn;highest-similarity;0,872340426;0,497340426;0,259929078
25%;graph;user;3;ew;highest-similarity;0,880319149;0,558510638;0,225044326
25%;graph;user;3;jn;highest-similarity;0,92287234;0,611702128;0,233953901
25%;graph;user;3;pa;highest-similarity;0,912234043;0,535460993;0,329654255
25%;graph;user;3;waa;highest-similarity;0,845744681;0,52393617;0,09929078
